date,nav,n_pos
2023-04-06,100000.0,0
2023-04-07,100000.0,0
2023-04-10,97389.876510264,9
2023-04-11,96982.93357926399,9
2023-04-12,99267.36451026399,9
2023-04-13,96559.82539226399,9
2023-04-14,96965.04592626399,9
2023-04-17,98506.8498133489,15
2023-04-18,99577.7046783489,15
2023-04-19,99898.61551234889,15
2023-04-20,103359.69679634893,15
2023-04-21,100397.8678983489,15
2023-04-24,100872.6082801934,15
2023-04-25,102821.52176819337,15
2023-04-26,98727.83547219339,15
2023-04-27,96475.2265421934,15
2023-04-28,101315.23248219339,15
2023-05-04,101332.01312402936,15
2023-05-05,100318.68206402936,15
2023-05-08,102869.5952818995,14
2023-05-09,101014.66756689952,14
2023-05-10,96418.11338489951,14
2023-05-11,96274.68223989951,14
2023-05-12,93879.80537089951,14
2023-05-15,95076.53991280176,16
2023-05-16,93920.41384680175,16
2023-05-17,93844.74940280175,16
2023-05-18,95573.92566580175,16
2023-05-19,93878.15265480177,16
2023-05-22,92668.88668664226,15
2023-05-23,90258.72108764226,15
2023-05-24,88371.99667664223,15
2023-05-25,88489.24506864227,15
2023-05-26,88929.56034364225,15
2023-05-29,91760.07883644124,16
2023-05-30,92448.98550044122,16
2023-05-31,92432.62532444124,16
2023-06-01,91610.17493544123,16
2023-06-02,90946.12097544124,16
2023-06-05,92205.588843832,16
2023-06-06,89666.75510783201,16
2023-06-07,89519.22644683199,16
2023-06-08,90277.427230832,16
2023-06-09,92897.604058832,16
2023-06-12,92072.15107712291,15
2023-06-13,92496.6489241229,15
2023-06-14,92255.62400112287,15
2023-06-15,92279.1203931229,15
2023-06-16,93455.84856612288,15
2023-06-19,95359.07249844712,15
2023-06-20,96323.30250744711,15
2023-06-21,94157.78928544711,15
2023-06-26,91286.60679965992,16
2023-06-27,92315.66872665992,16
2023-06-28,90759.50208765992,16
2023-06-29,91544.07779965992,16
2023-06-30,91782.12225765991,16
2023-07-03,92278.59685379745,15
2023-07-04,92369.78415579748,15
2023-07-05,91308.84917279746,15
2023-07-06,91814.57754579747,15
2023-07-07,91482.88367379746,15
2023-07-10,91125.37418446143,16
2023-07-11,91347.29025046142,16
2023-07-12,90045.92414846142,16
2023-07-13,92346.50806146141,16
2023-07-14,92732.28996246141,16
2023-07-17,91977.1483743147,18
2023-07-18,91301.88223531471,18
2023-07-19,90986.46874731472,18
2023-07-20,88531.45113831469,18
2023-07-21,88283.9032503147,18
2023-07-24,87820.75094031618,16
2023-07-25,89623.31508831619,16
2023-07-26,88751.84467931619,16
2023-07-27,88615.31555231617,16
2023-07-28,90560.87013831621,16
2023-07-31,90095.67996956094,16
2023-08-01,89665.92372656094,16
2023-08-02,88970.56102856094,16
2023-08-03,90484.36541056093,16
2023-08-04,91265.33119856095,16
2023-08-07,92352.54342627767,16
2023-08-08,90157.93306327767,16
2023-08-09,90117.07179627768,16
2023-08-10,92776.09335427768,16
2023-08-11,89048.85865527768,16
2023-08-14,88998.120582525,16
2023-08-15,90767.127210525,16
2023-08-16,91517.67802852501,16
2023-08-17,91404.402343525,16
2023-08-18,89579.92359352503,16
2023-08-21,88553.59119793226,18
2023-08-22,91203.41465993226,18
2023-08-23,89027.01517193223,18
2023-08-24,87560.68073093222,18
2023-08-25,88645.87027293222,18
2023-08-28,90506.81372394842,14
2023-08-29,90190.56956294843,14
2023-08-30,88317.00635194841,14
2023-08-31,87785.80783994844,14
2023-09-01,87528.51585894843,14
2023-09-04,88745.61971263516,13
2023-09-05,89057.93303263515,13
2023-09-06,88827.59943763516,13
2023-09-07,89345.27906163514,13
2023-09-08,88674.72345163516,13
2023-09-11,88549.09719199731,15
2023-09-12,88005.9925019973,15
2023-09-13,87987.4387039973,15
2023-09-14,89038.0771299973,15
2023-09-15,88598.8407589973,15
2023-09-18,88591.35064555203,15
2023-09-19,89192.99845555202,15
