date,nav,n_pos
2023-04-06,100000.0,0
2023-04-07,100000.0,0
2023-04-10,99050.890647349,6
2023-04-11,98795.601431349,6
2023-04-12,99500.445329349,6
2023-04-13,98704.26486034901,6
2023-04-14,99004.818572349,6
2023-04-17,100547.9905537046,17
2023-04-18,100601.8482837046,17
2023-04-19,99970.8189137046,17
2023-04-20,101145.2606757046,17
2023-04-21,100032.7945757046,17
2023-04-24,99112.5460672828,22
2023-04-25,100204.11833328281,22
2023-04-26,98530.8831042828,22
2023-04-27,98684.98067528282,22
2023-04-28,101376.5347402828,22
2023-05-04,103498.5542940352,22
2023-05-05,102570.47406603524,22
2023-05-08,106284.32102734155,22
2023-05-09,104456.65916334155,22
2023-05-10,101306.32917834156,22
2023-05-11,99894.16324334157,22
2023-05-12,97783.17629634155,22
2023-05-15,98274.49513671266,22
2023-05-16,97451.27615571267,22
2023-05-17,97216.3280777127,22
2023-05-18,98189.97347871268,22
2023-05-19,96374.20414571268,22
2023-05-22,96331.23062401538,22
2023-05-23,94275.55438101539,22
2023-05-24,92236.48655401538,22
2023-05-25,92766.77643001538,22
2023-05-26,93362.52927601538,22
2023-05-29,95557.75144737044,22
2023-05-30,95500.30402937043,22
2023-05-31,94880.69395437044,22
2023-06-01,94340.97064037045,22
2023-06-02,94118.78697737044,22
2023-06-05,95054.23586257057,22
2023-06-06,93244.37281757058,22
2023-06-07,93517.75922757055,22
2023-06-08,94637.43230057057,22
2023-06-09,95589.41260357056,22
2023-06-12,94578.43264008028,22
2023-06-13,94395.27824108028,22
2023-06-14,93430.7178610803,22
2023-06-15,93534.65828708027,22
2023-06-16,93983.47864508026,22
2023-06-19,94277.51231183148,12
2023-06-20,93943.27265083147,12
2023-06-21,93327.94692983148,12
2023-06-26,92196.565998765,19
2023-06-27,93552.280949765,19
2023-06-28,93710.423909765,19
2023-06-29,93667.95123976501,19
2023-06-30,94616.045144765,19
2023-07-03,96467.17308022139,22
2023-07-04,96384.3069982214,22
2023-07-05,95822.8641972214,22
2023-07-06,96106.5723572214,22
2023-07-07,96610.37398622141,22
2023-07-10,96031.8204214693,22
2023-07-11,96506.8703944693,22
2023-07-12,95817.65089746927,22
2023-07-13,97599.49075346928,22
2023-07-14,98021.62253446931,22
2023-07-17,97693.27971025794,22
2023-07-18,96727.49869325793,22
2023-07-19,96799.84396525794,22
2023-07-20,94900.60422525796,22
2023-07-21,94744.04976025794,22
2023-07-24,94667.6899716986,22
2023-07-25,96112.31468069862,22
2023-07-26,95418.1021236986,22
2023-07-27,95573.13973269862,22
2023-07-28,97822.5860096986,22
2023-07-31,97850.86410377942,22
2023-08-01,97496.34734977945,22
2023-08-02,96295.88688277944,22
2023-08-03,97729.83264077945,22
2023-08-04,98334.38787077942,22
2023-08-07,98402.60137017636,22
2023-08-08,97103.90393817636,22
2023-08-09,96710.83499217634,22
2023-08-10,97979.56179317634,22
2023-08-11,94979.45156117636,22
2023-08-14,94777.69420403455,22
2023-08-15,95843.03977103454,22
2023-08-16,96488.41807303455,22
2023-08-17,96449.88899403455,22
2023-08-18,95267.20708903453,22
2023-08-21,93700.15671103745,22
2023-08-22,95662.17274903748,22
2023-08-23,94072.62539703745,22
2023-08-24,92007.33370403745,22
2023-08-25,92573.49684403747,22
2023-08-28,94186.95113254011,22
2023-08-29,93679.51537354008,22
2023-08-30,92400.24965354009,22
2023-08-31,91791.9775235401,22
2023-09-01,92429.7079495401,22
2023-09-04,93563.27327297989,22
2023-09-05,93570.82171097987,22
2023-09-06,93520.3105649799,22
2023-09-07,93760.70722397989,22
2023-09-08,93214.79721597988,22
2023-09-11,93447.27489153098,22
2023-09-12,92885.21935453094,22
2023-09-13,92753.70699153095,22
2023-09-14,93935.22807753096,22
2023-09-15,93524.80983353096,22
2023-09-18,93690.91900337506,22
2023-09-19,94316.64912037503,22
