strategy,date,code,side,lots,value,fee
milp_w5,2023-04-10,sh.601360,BUY,1,3831.96221408,0.0
milp_w5,2023-04-10,sh.601138,BUY,2,3987.4740785879994,0.0
milp_w5,2023-04-10,sh.688126,BUY,2,4984.98,0.0
milp_w5,2023-04-10,sz.002600,BUY,1,2642.2530334199996,0.0
milp_w5,2023-04-10,sz.000725,BUY,3,4930.061871735,0.0
milp_w5,2023-04-10,sh.601688,BUY,2,3554.171448828,0.0
milp_w5,2023-04-17,sz.000725,SELL,3,4820.701700772,2.410350850386
milp_w5,2023-04-17,sz.302132,BUY,1,4907.902999999999,0.0
milp_w5,2023-04-17,sh.601857,BUY,4,4215.906414719999,0.0
milp_w5,2023-04-17,sh.601899,BUY,1,2782.7471992319997,0.0
milp_w5,2023-04-17,sh.601390,BUY,4,4309.811874368,0.0
milp_w5,2023-04-17,sh.603993,BUY,2,4406.7956652719995,0.0
milp_w5,2023-04-17,sh.601600,BUY,7,4544.497421464,0.0
milp_w5,2023-04-17,sh.600028,BUY,2,3732.4139332479995,0.0
milp_w5,2023-04-17,sh.601618,BUY,9,4740.833313215999,0.0
milp_w5,2023-04-17,sh.601766,BUY,5,4531.86797063,0.0
milp_w5,2023-04-17,sh.600362,BUY,1,2879.6782314299994,0.0
milp_w5,2023-04-17,sh.600938,BUY,2,4195.463642369999,0.0
milp_w5,2023-04-17,sh.601998,BUY,4,4083.6201566159993,0.0
milp_w5,2023-04-24,sz.002600,SELL,1,2458.340097102,1.229170048551
milp_w5,2023-04-24,sh.600362,SELL,1,2841.235438482,1.420617719241
milp_w5,2023-04-24,sh.601186,BUY,3,4534.054613087999,0.0
milp_w5,2023-04-24,sh.688009,BUY,6,4441.02132474,0.0
milp_w5,2023-04-24,sh.600023,BUY,6,4650.492790943999,0.0
milp_w5,2023-04-24,sh.601601,BUY,1,4357.066029316,0.0
milp_w5,2023-04-24,sh.601658,BUY,8,4910.275786415999,0.0
milp_w5,2023-04-24,sh.601288,BUY,7,4403.3997747739995,0.0
milp_w5,2023-04-24,sh.601328,BUY,4,4956.953961959999,0.0
milp_w5,2023-05-04,sh.601138,SELL,2,3521.180698596,1.7605903492980002
milp_w5,2023-05-04,sh.688126,SELL,2,4695.3,2.3476500000000002
milp_w5,2023-05-04,sh.601688,SELL,2,3569.9054230980005,1.7849527115490003
