date,nav,n_pos
2023-04-06,100000.0,0
2023-04-07,100000.0,0
2023-04-10,99471.845393332,2
2023-04-11,99260.542217332,2
2023-04-12,99714.246223332,2
2023-04-13,99335.080015332,2
2023-04-14,99349.52599333199,2
2023-04-17,99456.245461332,2
2023-04-18,99785.506409332,2
2023-04-19,99253.165233332,2
2023-04-20,99833.961827332,2
2023-04-21,99606.914809332,2
2023-04-24,99247.6436738443,4
2023-04-25,99596.1922578443,4
2023-04-26,99578.7987738443,4
2023-04-27,99480.7350198443,4
2023-04-28,100194.0155738443,4
2023-05-04,102023.47343112092,10
2023-05-05,101468.99365412093,10
2023-05-08,104449.37394361613,15
2023-05-09,102930.25074261612,15
2023-05-10,100291.58680361613,15
2023-05-11,99934.94305561611,15
2023-05-12,98949.28673361611,15
2023-05-15,98874.07020306861,13
2023-05-16,98743.4084590686,13
2023-05-17,98659.2714200686,13
2023-05-18,99377.5532960686,13
2023-05-19,98296.23116606861,13
2023-05-22,98293.1825904641,11
2023-05-23,97101.99043246408,11
2023-05-24,95951.17411346409,11
2023-05-25,96062.4047854641,11
2023-05-26,96522.9447114641,11
2023-05-29,96998.4793791997,5
2023-05-30,96971.5919321997,5
2023-05-31,97117.72925519971,5
2023-06-01,96523.1359261997,5
2023-06-02,96458.3747471997,5
2023-06-05,96696.58150064918,2
2023-06-06,96387.81041464917,2
2023-06-07,96460.02704864918,2
2023-06-08,96328.39054064918,2
2023-06-09,96853.18605864918,2
2023-06-12,97272.12254879,1
2023-06-13,97419.90431479,1
2023-06-14,97589.74306079,1
2023-06-15,97556.65759079,1
2023-06-16,97869.86670679,1
2023-06-19,98058.48003754501,2
2023-06-20,97946.49567054502,2
2023-06-21,97716.78468354502,2
2023-06-26,97429.50635651502,2
2023-06-27,97872.98828851501,2
2023-06-28,98249.52788351502,2
2023-06-29,98199.43964551501,2
2023-06-30,98296.75150151501,2
2023-07-03,98300.50652601248,2
2023-07-04,98304.73589901249,2
2023-07-05,98225.3307710125,2
2023-07-06,98202.29586101249,2
2023-07-07,98165.41287901248,2
2023-07-10,97778.60431539553,7
2023-07-11,98093.59725339552,7
2023-07-12,97796.18952839552,7
2023-07-13,98395.22908539552,7
2023-07-14,98605.40696239551,7
2023-07-17,98448.5824004102,5
2023-07-18,98114.17524041022,5
2023-07-19,97991.49761841021,5
2023-07-20,97410.8176624102,5
2023-07-21,97317.4865254102,5
2023-07-24,97209.73127869716,7
2023-07-25,97720.59819269716,7
2023-07-26,97625.00220069716,7
2023-07-27,97780.16159869716,7
2023-07-28,98526.36706869716,7
2023-07-31,97900.75931586072,14
2023-08-01,97610.56429286071,14
2023-08-02,96992.87824186072,14
2023-08-03,98102.10803886072,14
2023-08-04,98627.59226586072,14
2023-08-07,99119.6417351315,10
2023-08-08,98152.3735061315,10
2023-08-09,98095.4719701315,10
2023-08-10,99251.7465991315,10
2023-08-11,97531.31729713149,10
2023-08-14,97422.22235676518,5
2023-08-15,98103.25686876517,5
2023-08-16,98531.34875476517,5
2023-08-17,98531.58241476517,5
2023-08-18,98292.44761076517,5
2023-08-21,97666.23147204309,11
2023-08-22,98755.0963560431,11
2023-08-23,98275.9025720431,11
2023-08-24,97013.5548430431,11
2023-08-25,97437.94637304309,11
2023-08-28,98627.63875538838,7
2023-08-29,98583.02454938838,7
2023-08-30,97852.32719638839,7
2023-08-31,97593.26383538838,7
2023-09-01,97480.39285738839,7
2023-09-04,97659.18654650467,5
2023-09-05,97583.95326950467,5
2023-09-06,97574.39033450466,5
2023-09-07,97661.80060250466,5
2023-09-08,97567.95437150466,5
2023-09-11,97748.11529764958,9
2023-09-12,97707.18573264958,9
2023-09-13,98031.06038764957,9
2023-09-14,98471.07119264957,9
2023-09-15,98091.36073364958,9
2023-09-18,97944.10922562421,9
2023-09-19,98133.35485462422,9
