strategy,date,code,side,lots,value,fee
naive_eq20,2023-04-10,sh.601360,BUY,1,3831.96221408,0.0
naive_eq20,2023-04-10,sh.601138,BUY,2,3987.4740785879994,0.0
naive_eq20,2023-04-24,sh.601360,SELL,1,3212.9093944799997,1.6064546972399998
naive_eq20,2023-04-24,sh.601138,SELL,2,4151.379496968,2.0756897484840002
naive_eq20,2023-04-24,sh.601857,BUY,4,4473.64741824,0.0
naive_eq20,2023-04-24,sz.302132,BUY,1,4805.8009999999995,0.0
naive_eq20,2023-04-24,sh.688009,BUY,6,4441.02132474,0.0
naive_eq20,2023-04-24,sh.601766,BUY,5,4584.949879509999,0.0
naive_eq20,2023-05-04,sz.302132,SELL,1,5023.9710000000005,6.5311623
naive_eq20,2023-05-04,sh.688009,SELL,6,4305.515350824,2.152757675412
naive_eq20,2023-05-04,sh.601390,BUY,4,4674.52777792,0.0
naive_eq20,2023-05-04,sh.600028,BUY,2,4027.0781911359995,0.0
naive_eq20,2023-05-04,sh.601186,BUY,3,4669.756951859999,0.0
naive_eq20,2023-05-04,sh.601336,BUY,1,4544.19488523,0.0
naive_eq20,2023-05-04,sh.601319,BUY,7,4665.5515796889995,0.0
naive_eq20,2023-05-04,sh.601998,BUY,4,4436.013774191999,0.0
naive_eq20,2023-05-04,sh.601288,BUY,7,4495.686596400999,0.0
naive_eq20,2023-05-04,sh.601618,BUY,8,4379.905674143999,0.0
naive_eq20,2023-05-08,sh.601766,SELL,5,4502.9473452,2.2514736726
naive_eq20,2023-05-08,sh.601319,SELL,1,713.077044165,0.3565385220825
naive_eq20,2023-05-08,sh.601618,SELL,8,4478.24303424,2.23912151712
naive_eq20,2023-05-08,sh.600023,BUY,5,4330.27106512,0.0
naive_eq20,2023-05-08,sh.601988,BUY,5,4450.208277514999,0.0
naive_eq20,2023-05-08,sh.601658,BUY,7,4576.523335383999,0.0
naive_eq20,2023-05-08,sh.601328,BUY,3,4083.3924030899993,0.0
naive_eq20,2023-05-08,sh.600011,BUY,1,3868.0363491769995,0.0
naive_eq20,2023-05-08,sh.601601,BUY,1,4868.718814959999,0.0
naive_eq20,2023-05-08,sh.601939,BUY,3,4180.555531151999,0.0
naive_eq20,2023-05-15,sh.601390,SELL,4,4101.2642304,2.0506321152
naive_eq20,2023-05-15,sh.601186,SELL,3,4409.480711394,2.204740355697
naive_eq20,2023-05-15,sh.601998,SELL,1,1229.189402178,0.6145947010889999
naive_eq20,2023-05-15,sh.601288,SELL,7,4670.909070345,2.3354545351725
naive_eq20,2023-05-15,sh.601658,SELL,7,4192.08776595,2.096043882975
naive_eq20,2023-05-15,sh.601328,SELL,3,3940.06847751,1.970034238755
