date,nav,n_pos
2023-04-06,100000.0,0
2023-04-07,100000.0,0
2023-04-10,98609.60752908519,3
2023-04-11,98380.6755130852,3
2023-04-12,99384.88838208519,3
2023-04-13,98345.19600008518,3
2023-04-14,98238.65107308519,3
2023-04-17,97911.18777189052,5
2023-04-18,98510.98230989053,5
2023-04-19,97863.39763389053,5
2023-04-20,99079.05603689053,5
2023-04-21,98511.95350989053,5
2023-04-24,98435.69001308669,4
2023-04-25,98543.14521308668,4
2023-04-26,98771.40520508669,4
2023-04-27,98417.39479308669,4
2023-04-28,99800.81726508669,4
2023-05-04,100165.82123128697,5
2023-05-05,99980.14636128698,5
2023-05-08,101757.67101300815,9
2023-05-09,100665.93941300815,9
2023-05-10,98825.92792300814,9
2023-05-11,98674.43429100813,9
2023-05-12,97657.21990500815,9
2023-05-15,98010.66094347785,8
2023-05-16,97864.02499147787,8
2023-05-17,97664.24846447786,8
2023-05-18,98308.42974147786,8
2023-05-19,97521.69613047785,8
2023-05-22,97567.79542190352,8
2023-05-23,96441.28679890351,8
2023-05-24,95252.4303239035,8
2023-05-25,95316.99868390351,8
2023-05-26,95568.12361290352,8
2023-05-29,96084.00516777032,3
2023-05-30,95853.43368277031,3
2023-05-31,95945.2362657703,3
2023-06-01,95649.08644877031,3
2023-06-02,95536.5831267703,3
2023-06-05,96186.67855678758,5
2023-06-06,95376.67926278758,5
2023-06-07,95373.15604278758,5
2023-06-08,96011.92241678758,5
2023-06-09,97230.23265478759,5
2023-06-12,97117.5963943101,4
2023-06-13,97603.34239731009,4
2023-06-14,97466.99092231008,4
2023-06-15,97940.32914831009,4
2023-06-16,98186.30324331009,4
2023-06-19,98749.20911002968,3
2023-06-20,98972.33761602969,3
2023-06-21,98422.76170202967,3
2023-06-26,98290.58013096968,4
2023-06-27,98158.65034696969,4
2023-06-28,97818.24269296968,4
2023-06-29,98229.51660896969,4
2023-06-30,98397.43872896969,4
2023-07-03,98288.77528354044,5
2023-07-04,98799.79660754044,5
2023-07-05,98487.88467954044,5
2023-07-06,99283.36259554044,5
2023-07-07,99054.97158754044,5
2023-07-10,98770.89593416984,5
2023-07-11,99016.41953016983,5
2023-07-12,98120.38507916982,5
2023-07-13,99202.62569416984,5
2023-07-14,100129.21363816984,5
2023-07-17,100054.56683345209,6
2023-07-18,99532.29568145209,6
2023-07-19,99277.54735945209,6
2023-07-20,98205.93737745208,6
2023-07-21,98011.93948945208,6
2023-07-24,97783.03583516409,4
2023-07-25,97857.1022671641,4
2023-07-26,97358.9629031641,4
2023-07-27,97309.31343916409,4
2023-07-28,97925.80813516409,4
2023-07-31,97384.09217033339,9
2023-08-01,96934.72966833338,9
2023-08-02,96795.17750133338,9
2023-08-03,98202.00354833339,9
2023-08-04,98997.34034333337,9
2023-08-07,100256.39635119271,8
2023-08-08,98374.02646919272,8
2023-08-09,98475.67603919271,8
2023-08-10,100923.18413819271,8
2023-08-11,98240.48598619271,8
2023-08-14,98676.92373948175,8
2023-08-15,100540.99432648177,8
2023-08-16,101852.16881648176,8
2023-08-17,101914.49660448176,8
2023-08-18,100385.78646748175,8
2023-08-21,99513.56955136801,10
2023-08-22,101252.60613936803,10
2023-08-23,99695.91683236804,10
2023-08-24,98971.13621536802,10
2023-08-25,99924.35586536802,10
2023-08-28,101621.25560490556,8
2023-08-29,101359.34521390556,8
2023-08-30,99797.22683290555,8
2023-08-31,99534.22087690556,8
2023-09-01,99183.88203990555,8
2023-09-04,99319.95956960828,4
2023-09-05,99739.12682060828,4
2023-09-06,99607.66487360827,4
2023-09-07,100204.98711260827,4
2023-09-08,99934.30310160828,4
2023-09-11,99368.29610067881,7
2023-09-12,99293.81948167882,7
2023-09-13,98544.48618167882,7
2023-09-14,98873.14815567882,7
2023-09-15,98297.06869967881,7
2023-09-18,98436.11829618757,5
