strategy,date,code,side,lots,value,fee
qp_lam5,2023-04-10,sh.601138,BUY,3,5981.211117881999,4.7849688943055995
qp_lam5,2023-04-10,sz.002558,BUY,1,6760.370584968,5.408296467974401
qp_lam5,2023-04-10,sh.601360,BUY,2,7663.92442816,6.131139542528
qp_lam5,2023-04-17,sh.601360,SELL,2,6294.51214704,8.182865791152
qp_lam5,2023-04-17,sz.002602,BUY,1,6162.610854399999,4.930088683519999
qp_lam5,2023-04-17,sz.302132,BUY,1,4907.902999999999,0.0
qp_lam5,2023-04-17,sh.601857,BUY,2,2107.9532073599994,0.0
qp_lam5,2023-04-24,sh.601138,SELL,3,6227.069245451999,8.0951900190876
qp_lam5,2023-04-24,sz.002558,SELL,1,6171.749045028,8.0232737585364
qp_lam5,2023-04-24,sh.601857,BUY,5,5592.059272799999,4.47364741824
qp_lam5,2023-04-24,sh.601390,BUY,2,2242.232280288,0.0
qp_lam5,2023-05-04,sz.002602,SELL,1,6688.449015839999,8.694983720591999
qp_lam5,2023-05-04,sh.601857,SELL,1,1162.11048624,0.58105524312
qp_lam5,2023-05-04,sh.601390,BUY,4,4674.52777792,0.0
qp_lam5,2023-05-04,sh.601186,BUY,3,4669.756951859999,0.0
qp_lam5,2023-05-04,sh.600028,BUY,2,4027.0781911359995,0.0
qp_lam5,2023-05-08,sh.600023,BUY,9,7794.487917216,6.2355903337728
qp_lam5,2023-05-08,sh.601998,BUY,6,7161.882051324,5.7295056410592
qp_lam5,2023-05-08,sh.601186,BUY,1,1635.0801406939997,0.0
qp_lam5,2023-05-08,sh.601336,BUY,1,4963.06984173,0.0
qp_lam5,2023-05-08,sh.601319,BUY,4,2858.0185033399994,0.0
qp_lam5,2023-05-15,sz.302132,SELL,1,4795.2,2.3976
qp_lam5,2023-05-15,sh.601390,SELL,6,6151.8963456,7.997465249280001
qp_lam5,2023-05-15,sh.601186,SELL,3,4409.480711394,2.204740355697
qp_lam5,2023-05-15,sh.600028,SELL,1,1939.060447551,0.9695302237755
qp_lam5,2023-05-15,sh.600023,SELL,1,889.7451242399999,0.4448725621199999
qp_lam5,2023-05-15,sh.601319,BUY,7,4833.541980266999,0.0
qp_lam5,2023-05-15,sh.601988,BUY,8,7137.742371759998,5.710193897407998
qp_lam5,2023-05-22,sh.601857,SELL,5,5733.9970632,7.4541961821600005
qp_lam5,2023-05-22,sh.601186,SELL,1,1379.5394336460001,0.689769716823
qp_lam5,2023-05-22,sh.600028,SELL,1,1942.123734198,0.971061867099
qp_lam5,2023-05-22,sh.600150,BUY,1,7206.357982824,5.7650863862592
qp_lam5,2023-05-22,sh.600482,BUY,1,4226.464884642,0.0
qp_lam5,2023-05-29,sh.601857,SELL,1,1110.052836,0.5550264180000001
qp_lam5,2023-05-29,sh.601998,SELL,6,6702.788773728001,8.7136254058464
qp_lam5,2023-05-29,sh.601336,SELL,1,4445.5359940200005,2.2227679970100005
qp_lam5,2023-05-29,sh.601319,SELL,11,7173.228464126999,9.3251970033651
qp_lam5,2023-05-29,sh.601988,SELL,1,844.827489837,0.42241374491850003
qp_lam5,2023-05-29,sh.600150,SELL,1,7079.2330246559995,9.203002932052799
qp_lam5,2023-06-05,sh.601988,SELL,5,4213.27848402,2.10663924201
qp_lam5,2023-06-05,sz.002602,BUY,1,6403.3378409,5.12267027272
qp_lam5,2023-06-05,sh.601138,BUY,2,3987.4740785879994,0.0
qp_lam5,2023-06-12,sh.601988,SELL,1,892.6069365629999,0.4463034682814999
qp_lam5,2023-06-12,sh.600482,SELL,1,4060.091398446,2.030045699223
qp_lam5,2023-06-12,sh.601138,BUY,1,2242.126205319,0.0
qp_lam5,2023-06-19,sh.600023,SELL,3,2587.5240857999997,1.2937620428999999
qp_lam5,2023-06-19,sh.601988,SELL,1,860.0300410680001,0.43001502053400004
qp_lam5,2023-06-19,sh.601138,SELL,1,2699.27806995,1.349639034975
qp_lam5,2023-06-26,sh.601127,BUY,1,3955.3444530599995,0.0
qp_lam5,2023-07-03,sh.600023,SELL,1,926.06125176,0.46303062588
qp_lam5,2023-07-03,sh.601127,BUY,1,3900.2213249999995,0.0
qp_lam5,2023-07-03,sh.600482,BUY,1,5055.0542042,4.04404336336
qp_lam5,2023-07-10,sz.002602,SELL,1,6611.57029152,8.595041378976001
qp_lam5,2023-07-10,sh.601127,SELL,1,4706.20576332,2.35310288166
qp_lam5,2023-07-10,sh.600026,BUY,4,7683.938722459999,6.147150977967999
qp_lam5,2023-07-10,sh.601138,BUY,1,2649.4844375999996,0.0
qp_lam5,2023-07-10,sh.600023,BUY,4,3798.9941109119995,0.0
qp_lam5,2023-07-17,sh.600023,SELL,3,2745.4992405119997,1.372749620256
